iter	RMSE
289	4.475439611
290	4.47340345
291	4.469204775
292	4.464454746
293	4.461910424
294	4.45850731
295	4.45443547
296	4.451443436
297	4.448683697
298	4.44677612
299	4.442240533
300	4.439472144
301	4.436280977
302	4.43400106
303	4.432564601
304	4.430312205
305	4.42970014
306	4.423075802
307	4.421108868
308	4.417952699
309	4.416516823
310	4.410395647
311	4.40895363
312	4.402752837
313	4.401362559
314	4.399239072
315	4.394450309
316	4.3916089
317	4.389815353
318	4.387305862
319	4.386271567
320	4.381543508
321	4.379633409
322	4.374413487
323	4.369611999
324	4.366702439
325	4.366072062
326	4.365005965
327	4.363308808
328	4.357502258
329	4.355464339
330	4.349636617
331	4.345411685
332	4.340265982
333	4.338866887
334	4.333010366
335	4.331992073
336	4.330125119
337	4.327550015
338	4.326065957
339	4.32444251
340	4.322273753
341	4.317553886
342	4.314573689
343	4.312849338
344	4.312417271
345	4.308632721
346	4.305505292
347	4.304514149
348	4.300503605
349	4.295359637
350	4.293007298
351	4.289859901
352	4.289257005
353	4.285350079
354	4.283462602
355	4.280393726
356	4.275471561
357	4.269343517
358	4.264651633
359	4.259977206
360	4.259109726
361	4.256372686
362	4.250873567
363	4.244249563
364	4.238856571
365	4.232976092
366	4.229922906
367	4.228306819
368	4.226566291
369	4.225106359
370	4.219908482
371	4.216327668
372	4.21181517
373	4.207062645
374	4.205900993
375	4.201842654
376	4.198966792
377	4.197730157
378	4.195721243
379	4.192498726
380	4.189910229
381	4.188721118
382	4.187235363
383	4.18538886
384	4.179847859
385	4.177050343
386	4.175850651
387	4.174366691
388	4.172403266
389	4.16934883
390	4.167368366
391	4.166047726
392	4.164448298
393	4.162310336
394	4.16070993
395	4.156675695
396	4.153510248
397	4.1517382
398	4.150466742
399	4.145988915
400	4.145253905
401	4.143899169
402	4.138127779
403	4.137344144
404	4.136004797
405	4.132225737
406	4.127673971
407	4.125886568
408	4.121204301
409	4.117690151
410	4.116410876
411	4.114220566
412	4.112478955
413	4.111805055
414	4.109907403
415	4.108649399
416	4.106395797
417	4.104734559
418	4.102190054
419	4.098811687
420	4.094947168
421	4.093416745
422	4.092143153
423	4.089867383
424	4.086254982
425	4.083151927
426	4.081453252
427	4.080706481
428	4.078933801
429	4.073986654
430	4.071757268
431	4.068423841
432	4.066198398
433	4.061810439
434	4.060477388
435	4.058074427
436	4.055801001
437	4.053645374
438	4.051164204
439	4.050120067
440	4.048221062
441	4.046258315
442	4.044724155
443	4.043026417
444	4.038410604
445	4.033846893
446	4.029778483
447	4.025846726
448	4.021987258
449	4.017381701
450	4.015972065
451	4.012016768
452	4.006319506
453	4.005156135
454	4.003435168
455	3.99827477
456	3.997295999
457	3.99285008
458	3.989172395
459	3.984689136
460	3.98273927
461	3.980903463
462	3.976773368
463	3.973136803
464	3.971839361
465	3.967648431
466	3.963869394
467	3.962416351
468	3.960434976
469	3.956932766
470	3.955319361
471	3.951023863
472	3.947970366
473	3.945627637
474	3.943096498
475	3.937433136
476	3.93459564
477	3.93322915
478	3.928054309
479	3.92611773
480	3.92274926
481	3.919537168
482	3.918831893
483	3.917897883
484	3.915125238
485	3.912381306
486	3.907449298
487	3.906048341
488	3.905862618
489	3.901428006
490	3.898801392
491	3.896821764
492	3.896108702
493	3.892176141
494	3.890858858
495	3.886574904
496	3.883560057
497	3.878751634
498	3.877822747
499	3.877256246
500	3.875724241
501	3.874789914
502	3.874707869
503	3.872283213
504	3.870410731
505	3.867220426
506	3.864271797
507	3.860461205
508	3.860346728
509	3.857122023
510	3.855601755
511	3.85237583
512	3.849992899
513	3.846575293
514	3.845014825
515	3.84294775
516	3.841848063
517	3.837454326
518	3.835439221
519	3.834032195
520	3.831948065
521	3.829341542
522	3.828097672
523	3.824447555
524	3.822669627
525	3.822026996
526	3.821587496
527	3.820561281
528	3.816644459
529	3.81559976
530	3.811605393
531	3.810306699
532	3.808187948
533	3.805901861
534	3.803011454
535	3.799379696
536	3.798580495
537	3.794353615
538	3.791258511
539	3.790433395
540	3.789321176
541	3.787868756
542	3.787758955
543	3.786251481
544	3.785042806
545	3.784064237
546	3.783103976
547	3.779468872
548	3.775535115
549	3.773895336
550	3.771170327
551	3.768625874
552	3.767451271
553	3.766137346
554	3.764323249
555	3.761655563
556	3.758064677
557	3.757032988
558	3.753256104
559	3.751287728
560	3.750276291
561	3.748499709
562	3.747254444
563	3.746031558
564	3.741172458
565	3.740517043
566	3.737239541
567	3.735334382
568	3.734205248
569	3.730248558
570	3.728965912
571	3.72718186
572	3.724096009
573	3.721984798
574	3.720268873
575	3.7198818
576	3.718064205
577	3.715561711
578	3.712588754
579	3.711655324
580	3.711308663
581	3.708643742
582	3.706462699
583	3.704808867
584	3.702730649
585	3.70186936
586	3.697878562
587	3.697381515
588	3.693486525
589	3.690994572
590	3.687304953
591	3.686549569
592	3.683345099
593	3.679786989
594	3.679120608
595	3.676454439
596	3.67304025
597	3.669668021
598	3.666416689
599	3.663650403
600	3.663165544
601	3.658022323
602	3.653991993
603	3.653704699
604	3.652638685
605	3.652002686
606	3.650286127
607	3.648615588
608	3.644980582
609	3.642797565
610	3.641615866
611	3.638660061
612	3.637788093
613	3.636767537
614	3.636590473
615	3.632654986
616	3.632368056
617	3.631754706
618	3.629466073
619	3.628195754
620	3.624658968
621	3.62210588
622	3.620274771
623	3.619201865
624	3.616142745
625	3.61304095
626	3.60982015
627	3.606114578
628	3.604214139
629	3.601529455
630	3.598469811
631	3.597500296
632	3.593626604
633	3.590176561
634	3.589131655
635	3.58796477
636	3.586451677
637	3.585318812
638	3.580979552
639	3.580385592
640	3.579565207
641	3.577078242
642	3.57623206
643	3.574506124
644	3.57393901
645	3.571744485
646	3.568787319
647	3.564544512
648	3.562404529
649	3.558738864
650	3.557470331
651	3.554178368
652	3.553029079
653	3.551775017
654	3.549167887
655	3.546446923
656	3.544599554
657	3.543859351
658	3.542885908
659	3.542766099
660	3.541695547
661	3.5401519
662	3.537568262
663	3.535393318
664	3.532669488
665	3.53095985
666	3.527593584
667	3.526229692
668	3.524550838
669	3.524000454
670	3.523087691
671	3.521048049
672	3.517780693
673	3.51634722
674	3.513257756
675	3.510668165
676	3.506719219
677	3.503742923
678	3.501060643
679	3.499540145
680	3.496668806
681	3.49377264
682	3.491877907
683	3.49113893
684	3.489970557
685	3.487805729
686	3.486300569
687	3.485740921
688	3.484039413
689	3.483472973
690	3.482874733
691	3.480012114
692	3.479290432
693	3.479253945
694	3.47865386
695	3.475677698
696	3.473158917
697	3.470687097
698	3.469767668
699	3.466598558
700	3.462957386
701	3.462692489
702	3.460793677
703	3.45964488
704	3.457866809
705	3.454791442
706	3.45371422
707	3.452655794
708	3.452199665
709	3.452086327
710	3.451365925
711	3.447637149
712	3.446015079
713	3.442462816
714	3.437888535
715	3.434528578
716	3.432213707
717	3.431842593
718	3.430725834
719	3.430627706
720	3.428229514
721	3.42566469
722	3.42500435
723	3.423821749
724	3.421876775
725	3.421760718
726	3.419643053
727	3.419536828
728	3.416425696
729	3.414261184
730	3.412333454
731	3.41191207
732	3.408961849
733	3.407020666
734	3.40361429
735	3.400433474
736	3.398600191
737	3.397088847
738	3.396672364
739	3.396331127
740	3.396105551
741	3.393507519
742	3.391708475
743	3.391606091
744	3.390443875
745	3.38773693
746	3.385708646
747	3.382012293
748	3.379986657
749	3.37816348
750	3.377741502
751	3.37665589
752	3.374614158
753	3.373639451
754	3.369358048
755	3.367797035
756	3.367198929
757	3.365950769
758	3.365720016
759	3.364697764
760	3.362644761
761	3.360929757
762	3.360557802
763	3.356637256
764	3.353725743
765	3.352695886
766	3.35191794
767	3.348704097
768	3.34760955
769	3.34698856
770	3.345541678
771	3.343387379
772	3.342512498
773	3.338580795
774	3.337708963
775	3.335743828
776	3.333013551
777	3.329924774
778	3.329226063
779	3.328817913
780	3.327648947
781	3.326646095
782	3.32340602
783	3.322358775
784	3.321958695
785	3.320907274
786	3.318058962
787	3.317131472
788	3.316599397
789	3.315706031
790	3.314416246
791	3.313718411
792	3.311521281
793	3.309346205
794	3.307841443
795	3.307394275
796	3.305968773
797	3.302079524
798	3.301245819
799	3.297909976
800	3.296779419
801	3.294964275
802	3.29361732
803	3.293074649
804	3.292829623
805	3.290978163
806	3.289970886
807	3.287788416
808	3.284947041
809	3.284853979
810	3.28370133
811	3.282644379
812	3.280899223
813	3.280809
814	3.279610851
815	3.277277084
816	3.276692399
817	3.275244373
818	3.27248348
819	3.271652831
820	3.270258665
821	3.268544478
822	3.266805756
823	3.266033136
824	3.26507228
825	3.264281109
826	3.262616471
827	3.258804541
828	3.257091789
829	3.254895565
830	3.254369644
831	3.251673977
832	3.250925267
833	3.250104162
834	3.24803387
835	3.247716646
836	3.245327854
837	3.243501997
838	3.240735869
839	3.240545541
840	3.240426399
841	3.239235154
842	3.238309006
843	3.236271745
844	3.233488341
845	3.230222323
846	3.229067514
847	3.227539763
848	3.225354309
849	3.22362973
850	3.223003465
851	3.222453739
852	3.220760979
853	3.220085808
854	3.217874979
855	3.216037723
856	3.215011135
857	3.213531003
858	3.212946988
859	3.211199464
860	3.21029303
861	3.208549036
862	3.207289069
863	3.205129462
864	3.202614084
865	3.201620626
866	3.199876307
867	3.197387697
868	3.196633274
869	3.196128444
870	3.192474823
871	3.192185784
872	3.190884832
873	3.188125224
874	3.187488281
875	3.185312632
876	3.184905381
877	3.182961264
878	3.182779846
879	3.18153285
880	3.180670952
881	3.179217374
882	3.177304341
883	3.176577954
884	3.175536725
885	3.17438803
886	3.172544815
887	3.172191018
888	3.171911018
889	3.170899443
890	3.170253131
891	3.168731541
892	3.165774806
893	3.165462093
894	3.161854727
895	3.161484947
896	3.159882103
897	3.158368583
898	3.156939432
899	3.152844991
900	3.152311683
901	3.152082615
902	3.149670805
903	3.148563286
904	3.14704655
905	3.146474267
906	3.146258745
907	3.144933989
908	3.142799953
909	3.142226407
910	3.141161294
911	3.140106292
912	3.138845542
913	3.136092712
914	3.13580538
915	3.132366028
916	3.130519781
917	3.127924896
918	3.125709957
919	3.125125116
920	3.123275983
921	3.119852679
922	3.119582813
923	3.1173869
924	3.116520958
925	3.115697352
926	3.113560714
927	3.11081185
928	3.110132407
929	3.109207761
930	3.108385521
931	3.10754859
932	3.105795008
933	3.104327412
934	3.103470443
935	3.101653809
936	3.101243292
937	3.100152097
938	3.099070134
939	3.098586274
940	3.097969096
941	3.096199119
942	3.09477665
943	3.094105249
944	3.093121844
945	3.091365668
946	3.090389695
947	3.089173643
948	3.085821086
949	3.08216999
950	3.079929689
951	3.078417032
952	3.076919202
953	3.074396523
954	3.073295862
955	3.069658214
956	3.067461264
957	3.066294636
958	3.066029988
959	3.063600243
960	3.060519501
961	3.05855813
962	3.057797016
963	3.057390432
964	3.05677528
965	3.056021101
966	3.05458605
967	3.053207292
968	3.052876279
969	3.052661546
970	3.051202107
971	3.04910807
972	3.047203478
973	3.046721806
974	3.046265863
975	3.043561229
976	3.042825875
977	3.041966417
978	3.04048413
979	3.039054593
980	3.038725728
981	3.037164062
982	3.03659182
983	3.034618549
984	3.033408109
985	3.031942089
986	3.031241198
987	3.030431574
988	3.030022186
989	3.029800393
990	3.028163137
991	3.02763801
992	3.026552195
993	3.024580067
994	3.023835053
995	3.022942497
996	3.022008528
997	3.021469972
998	3.017551104
999	3.015005265
